rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:0wcfyMYSuukf3dZAbehTmc","Mirella, Averagekidluke","Make up your mind","Universal Music Oy",1,-1,1,"1103389"
2,"spotify:track:4rch7q4kFz6vqaNzt8FBj5","Turisti","Kui paljon","WM Finland",1,1,6,"471803"
3,"spotify:track:4fgLmTOX8eIDwcFA1Zgwra","Isac Elliot","Ai Että","WM Finland",1,3,12,"405146"
4,"spotify:track:4ekyr5DV8ZUBQjA25ux0co","Aliisa Syrjä","Sydän on rikki","WM Finland",4,-1,1,"397679"
5,"spotify:track:5elZ9A56hUsDtI8KwBSukS","Lage, Lauri Haav","Yksin tääl (feat. Lauri Haav)","Universal Music Oy",2,2,3,"343204"
6,"spotify:track:6Pa8w6Q4C7lNunjgtqxBkh","Turisti","Beyonce","WM Finland",2,4,6,"324726"
7,"spotify:track:3ARgFb4seYmgDDPQjokiaQ","AHTI, Behm","Tähdet","WM Finland",1,5,14,"314405"
8,"spotify:track:6wTnsZgua00pdQoYkroEQL","Ares, pehmoaino","Totuus sattuu (with pehmoaino)","WM Finland",2,7,9,"289512"
9,"spotify:track:53iuhJlwXhSER5J2IYYv1W","Taylor Swift","The Fate of Ophelia","Taylor Swift",5,8,8,"267877"
10,"spotify:track:6eN4usKcguQrcGwnepHVE9","Minttu","Tyttöystävä","Universal Music Oy",3,6,5,"265901"
11,"spotify:track:6autRemLR1u9uO5qGa8edx","Haloo Helsinki!","Voiko enkelitkin eksyä","Vallila Music House",5,9,12,"240647"
12,"spotify:track:728CCaVme0Ppv8zrG9caYE","Ares","Menestys on paras tapa kostaa","WM Finland",1,10,47,"233556"
13,"spotify:track:7kSBo6NoqCsoZ6W2SBYJvv","Averagekidluke","Vihaa mua","WM Finland",2,15,24,"226807"
14,"spotify:track:7oZUbH4QyiNtW8L9ibZFHH","Mirella","Vähän enemmän","Universal Music Oy",1,13,7,"210064"
15,"spotify:track:5qO4CmSoNy3A6Q2G6SzSuQ","Lauri Haav, emma & matilda","Rakkauden haudalla (Vain elämää kausi 16)","PME Records",1,12,10,"206079"
16,"spotify:track:2FRnf9qhLbvw8fu4IBXx78","Wham!","Last Christmas","Epic",1,22,66,"198546"
17,"spotify:track:5pEqejl90W8bWqhVA83yJi","Käärijä","Disko Balls","WM Finland",17,-1,1,"193408"
18,"spotify:track:4CNnv8cGfLUKpuvSysGbbm","KERZA, Isac Elliot","Ms. Bad","WM Finland",2,17,20,"183003"
19,"spotify:track:30McQzUzWjcZbqQbW3Smd3","Isac Elliot","Ehkä Se Siitä","WM Finland",3,20,43,"182279"
20,"spotify:track:1gr3CyDcnW7xuWwzwA5MMy","Lauri Haav","Matkustaja (Vain elämää kausi 16)","PME Records",2,14,6,"180023"
21,"spotify:track:0bYg9bo50gSsH3LtXe2SQn","Mariah Carey","All I Want for Christmas Is You","Columbia",2,30,66,"178801"
22,"spotify:track:4kyyeD1eO2wR6VfRKh4gkq","Isac Elliot","Sata Enkelii","WM Finland",1,18,18,"177893"
23,"spotify:track:2vaFrvauevJtiY6HXk84YH","Jore & Zpoppa","Tehtävä tää","WM Finland",11,11,2,"177342"
24,"spotify:track:3RCxl6HWK4ADOzMbY8FZCw","Haloo Helsinki!, Cantores Minores","Joulun kanssas jaan (feat. Cantores Minores)","Ratas Music",3,48,53,"167634"
25,"spotify:track:1CPZ5BxNNd0n0nF4Orb9JS","HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast","Golden","K-Pop Demon Hunters",9,21,22,"161532"
26,"spotify:track:1XVaev7QO2VXE9px7ZVYQU","Isac Elliot","Oma Vika","WM Finland",1,26,22,"160159"
27,"spotify:track:2RezuMCTCuePMmT8aZ6RNC","william, Bizi","Syytä tätä iltaa","WM Finland",27,34,7,"159035"
28,"spotify:track:1rIKgCH4H52lrvDcz50hS8","Zara Larsson","Lush Life","Epic/Record Company TEN",28,75,24,"156680"
29,"spotify:track:04ItU6vyhnq8QHKIrYqDR1","Behm","Kaiken arvoinen","WM Finland",6,27,33,"155062"
30,"spotify:track:6TlpSqesu3cFLa4tJcgRkC","Senya","Tuulta purjeisiin","Fountain Records",30,-1,1,"152986"
31,"spotify:track:6zLzNEyVqtyZoohE75maSy","Averagekidluke","Diva","WM Finland",1,51,54,"151334"
32,"spotify:track:6yy7IWGVnuqG6pXjDPzRxc","Elias Kaskinen","Meidän tässä kuuluisi rakastuu","WM Finland",32,39,14,"149543"
33,"spotify:track:04P8mrc0gL2g8gLDuxQGdm","Averagekidluke, Sexmane","Älä pelkää","WM Finland",6,36,24,"149500"
34,"spotify:track:7uoFMmxln0GPXQ0AcCBXRq","Sia","Snowman","Monkey Puzzle/Atlantic",1,49,59,"147613"
35,"spotify:track:1yPXRZYJcZpi3SUQcT2Yro","Pihlaja","Mä oon se tyttö","Sony Music Entertainment Finland",12,19,5,"146688"
36,"spotify:track:0Q3f5sp2j2NESNeyH8YeC2","emma & matilda","Ei kulu päivääkään","WM Finland",3,28,10,"146267"
37,"spotify:track:5CbkZJipjT198pDW8v3k2u","Ares, Averagekidluke, Turisti","Iha miten vaa","WM Finland",2,46,57,"145901"
38,"spotify:track:6shalerzc3LLKNj6rvHhfT","Mikael Gabriel, Senni","Sotilas (feat. Senni)","WM Finland",16,16,2,"142562"
39,"spotify:track:4XUndYhoFjUFzrT9zWBWQA","Mouhous","Räppii, Seksii & Huumeita","WM Finland",8,33,24,"136937"
40,"spotify:track:36lT6tdND08VVvv3HwbhZD","Mirella","Timanttei","Universal Music Oy",1,55,99,"134801"
41,"spotify:track:12rU8FaKO2tRRkBjuaFj0S","JVG, emma & matilda","Kävi miten kävi (feat. emma & matilda)","PME Records",1,35,25,"133580"
42,"spotify:track:1y1iqCHLIIqdlD83TbUPS8","ABREU, AHTI","7 syntiä (feat. AHTI)","WM Finland",8,25,4,"132241"
43,"spotify:track:5TeqjpMEE4YAgo1NtlCje9","VIIVI","Rakkauteen (Vain elämää kausi 16)","WM Finland",4,38,7,"129415"
44,"spotify:track:1gT6L9rpCivi18AA0nC7hy","VJ","Mentalité","WM Finland",8,32,7,"128982"
45,"spotify:track:7L1rB3YL8wCNzwPK7OnyO4","JVG","Jääpähän","PME Records",6,43,8,"128083"
46,"spotify:track:44utwvtrKuniXc5xfA98uA","Lage","Mun Type","Pommisuoja",1,37,22,"126178"
47,"spotify:track:4OUdNzrfhl2AVu0qTNUIkz","AHTI, Isac Elliot","Sun luokse","WM Finland",2,47,61,"125190"
48,"spotify:track:55lijDD6OAjLFFUHU9tcDm","RAYE","WHERE IS MY HUSBAND!","Human Re Sources",48,53,10,"125059"
49,"spotify:track:1rn1Ln1GWJnmxn7oYyKQes","Käärijä","Vantaalainen (Vain elämää kausi 16)","WM Finland",4,23,4,"122777"
50,"spotify:track:7jLUZ7Hah28SRrs3NDugpD","Lauri Haav","Toisessa elämässä","PME Records",1,42,33,"120728"
51,"spotify:track:0UxaNxUNLleuXOPtnPnCTZ","Isac Elliot","Vanhasta Uuteen","WM Finland",3,44,35,"117860"
52,"spotify:track:3B2ZpJeewPvhAkjXtTkdtJ","Tate McRae","NOBODY'S GIRL","RCA Records Label",52,-1,1,"114771"
53,"spotify:track:5UKlid68MBDXj3WdgVdOen","Averagekidluke, ibe","Elovena tyttö","WM Finland",5,54,24,"113629"
54,"spotify:track:6Pnv2q27FEAXKAPeuny5w5","Ares","Onneks","WM Finland",1,52,31,"112069"
55,"spotify:track:3gEmQZnsmDrttYiBM2WYdD","Mirella, Lauri Haav","Luotathan","Universal Music Oy",1,92,78,"106074"
56,"spotify:track:4luktFRUq1Lc2HIipwHK4w","Lauri Haav","Siks kai mä oon sun (Vain elämää kausi 16)","PME Records",5,29,4,"105886"
57,"spotify:track:77gUPPU3ip9oKbq18V8t21","Lauri Haav","Lääke (Vain elämää kausi 16)","PME Records",1,41,8,"103472"
58,"spotify:track:2EjXfH91m7f8HiJN1yQg97","Brenda Lee","Rockin' Around The Christmas Tree","MCA Nashville",5,82,39,"101702"
59,"spotify:track:5Lcqxese2p6RAAw3maH81R","Alina Burnet","Poikii on","Fountain Records",24,24,2,"101194"
60,"spotify:track:6ZIqKl5HcLzZyvsAWTilcu","Turisti, Jore & Zpoppa","Jääkarhu (feat. Jore & Zpoppa)","WM Finland",7,45,6,"100711"
61,"spotify:track:4zH8TU2iPWc6cu4gwGoEZ7","Averagekidluke, Turisti, Ares, Jore & Zpoppa, WILLEM","MEININKI","WM Finland",1,58,24,"99010"
62,"spotify:track:4TXDY9RqFb8psoJ1Hdhg86","emma & matilda","Sun tyttö","WM Finland",13,65,21,"97223"
63,"spotify:track:0MPSlDykbf5rHzieNkpBV1","Sara Bee, Ares","Luuleks (feat. Ares)","WM Finland",3,50,30,"97217"
