rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:53iuhJlwXhSER5J2IYYv1W","Taylor Swift","The Fate of Ophelia","Taylor Swift",1,1,8,"591274"
2,"spotify:track:6YSq1MHTG61D0p489GqcLA","Delara","Siste Dans - fra Snøsøsteren","GR:OW Records",1,5,24,"570110"
3,"spotify:track:7uoFMmxln0GPXQ0AcCBXRq","Sia","Snowman","Monkey Puzzle/Atlantic",1,8,85,"499535"
4,"spotify:track:1aKVPi9doltHZd1AxgzrYW","Ramón","ingenting er magisk","Universal Music AS",3,3,4,"464877"
5,"spotify:track:0M3G7kxxZt2W1T3PH97iXd","Astrid S","Når Snøen Smelter - fra Tre nøtter til Askepott","Universal Music AS",2,12,42,"463786"
6,"spotify:track:0bYg9bo50gSsH3LtXe2SQn","Mariah Carey","All I Want for Christmas Is You","Columbia",1,9,80,"451976"
7,"spotify:track:1dPZDS1N5YIGBzhD1UReoJ","Ari Bajgora","Mari&Hannah","Distortion Label",2,2,9,"430183"
8,"spotify:track:2FRnf9qhLbvw8fu4IBXx78","Wham!","Last Christmas","Epic",2,13,75,"405679"
9,"spotify:track:0PRX6CXffB3cARlzNCkmR4","Eva Weel Skram","Selmas sang (fra Snøfall)","WM Norway",6,19,69,"389583"
10,"spotify:track:1CPZ5BxNNd0n0nF4Orb9JS","HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast","Golden","K-Pop Demon Hunters",1,4,22,"382660"
11,"spotify:track:1rIKgCH4H52lrvDcz50hS8","Zara Larsson","Lush Life","Epic/Record Company TEN",11,23,108,"375006"
12,"spotify:track:55lijDD6OAjLFFUHU9tcDm","RAYE","WHERE IS MY HUSBAND!","Human Re Sources",6,7,10,"359979"
13,"spotify:track:1qbmS6ep2hbBRaEZFpn7BX","Olivia Dean","Man I Need","PLG - Capitol",3,6,15,"350195"
14,"spotify:track:3YJA6qP1OMqMTfGxznhpAR","Ari Bajgora","Falle og slå seg","Distortion Label",1,10,27,"314277"
15,"spotify:track:1rv46mRwDqMEhOBZ7vODg3","Michael Bublé","It's Beginning to Look a Lot like Christmas","Reprise",2,24,70,"313184"
16,"spotify:track:2RkZ5LkEzeHGRsmDqKwmaJ","Alex Warren","Ordinary","Atlantic Records",1,11,42,"308452"
17,"spotify:track:0WFyQgDzbQCfJuxcHW4Zrt","Kurt Nilsen, The Norwegian Radio Orchestra","Himmel På Jord","Lord Records",4,30,68,"296752"
18,"spotify:track:0fKwOY2Z6oB9ntoNDR13nP","Ingebjørg Bratland, Ina Svenningdal","Jul i svingen","Universal Music AS",5,29,62,"291596"
19,"spotify:track:0lizgQ7Qw35od7CYaoMBZb","Ariana Grande","Santa Tell Me","Universal Records",9,32,64,"274299"
20,"spotify:track:1hdy7Ve9G9RBHas7kWegk6","Tobias Sten","Fy faen du e deili","Universal Music AS",2,14,24,"266721"
21,"spotify:track:7xapw9Oy21WpfEcib2ErSA","Justin Bieber","Mistletoe","RBMG/Def Jam",11,45,66,"265924"
22,"spotify:track:3E0fq2gqsNbQo5paAuEcmc","Maria Mena","Home for Christmas","Columbia",2,58,71,"257152"
23,"spotify:track:2EjXfH91m7f8HiJN1yQg97","Brenda Lee","Rockin' Around The Christmas Tree","MCA Nashville",8,38,54,"253481"
24,"spotify:track:1ikAsZ38q8AQ1l7FcOhu5g","Freddy Kalas","Hey Ho (Original Versjon)","Universal Music AS",4,49,71,"252825"
