rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2FRnf9qhLbvw8fu4IBXx78","Wham!","Last Christmas","Epic",1,5,70,"739204"
2,"spotify:track:53iuhJlwXhSER5J2IYYv1W","Taylor Swift","The Fate of Ophelia","Taylor Swift",1,1,8,"720672"
3,"spotify:track:0j2JcSeuF8ElJTrC8g6493","Humlan Djojj, Josefine Götestam","Djurens vaggvisa","Filtr Kids",2,2,218,"708775"
4,"spotify:track:0bYg9bo50gSsH3LtXe2SQn","Mariah Carey","All I Want for Christmas Is You","Columbia",1,6,71,"702053"
5,"spotify:track:1qbmS6ep2hbBRaEZFpn7BX","Olivia Dean","Man I Need","PLG - Capitol",3,4,15,"567815"
6,"spotify:track:1CPZ5BxNNd0n0nF4Orb9JS","HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast","Golden","K-Pop Demon Hunters",1,3,22,"547146"
7,"spotify:track:2EjXfH91m7f8HiJN1yQg97","Brenda Lee","Rockin' Around The Christmas Tree","MCA Nashville",3,22,50,"504215"
8,"spotify:track:1rIKgCH4H52lrvDcz50hS8","Zara Larsson","Lush Life","Epic/Record Company TEN",8,18,106,"481330"
9,"spotify:track:7uoFMmxln0GPXQ0AcCBXRq","Sia","Snowman","Monkey Puzzle/Atlantic",7,27,43,"469019"
10,"spotify:track:1qRV1dKLOfH1s00b9J2LUQ","Zara Larsson","Midnight Sun","Sommer House/Epic",8,8,24,"465183"
11,"spotify:track:55lijDD6OAjLFFUHU9tcDm","RAYE","WHERE IS MY HUSBAND!","Human Re Sources",5,7,10,"464903"
12,"spotify:track:0WeT9UnF79pGH5ohYHsnD9","Triad","Tänd ett ljus","WM Sweden",3,34,56,"461290"
13,"spotify:track:3GygspQIcYy5OnRiw245Qh","Babblarna","Babblarnas vaggvisa","Universal Music AB Distributed Labels",5,9,361,"437307"
14,"spotify:track:2RkZ5LkEzeHGRsmDqKwmaJ","Alex Warren","Ordinary","Atlantic Records",3,10,42,"425411"
15,"spotify:track:7vQbuQcyTflfCIOu3Uzzya","Bobby Helms","Jingle Bell Rock","Geffen",5,32,48,"409656"
16,"spotify:track:401N7rbd6MSziVSDVTaQr7","Humlan Djojj, Josefine Götestam","Somna","Filtr Kids",11,12,170,"385581"
17,"spotify:track:5jlAu4lHHVzheutRcbDklk","Humlan Djojj, Josefine Götestam","Stjärnorna","Filtr Kids",13,13,174,"377685"
18,"spotify:track:4WfSDuJ4MrpdSSCEOanwzD","E.M.D.","Välkommen hem","Ariola",8,62,50,"368433"
19,"spotify:track:3PDLigCHaHNk4fVsQqqJt6","G1ocatore","Onormal","G1ocatore",19,-1,1,"365253"
20,"spotify:track:3qCeq0rWK67SoBDgFd2sId","José Feliciano","Feliz Navidad","RCA Records Label",3,54,52,"355990"
21,"spotify:track:7qjZnBKE73H4Oxkopwulqe","sombr","back to friends","Warner Records",7,14,36,"347068"
22,"spotify:track:0lizgQ7Qw35od7CYaoMBZb","Ariana Grande","Santa Tell Me","Universal Records",4,40,54,"345934"
23,"spotify:track:4SLYrBfzgbLmiEdoKajyHL","Thomas Stenström","Ser du månen där du är ikväll? (Tillsammans igen)","Korpstaden Produktion",3,52,179,"339582"
24,"spotify:track:01RdEXps15f3VmQMV6OuTM","Tjuvjakt, Fanny Avonne","Tusen spänn","Roxy Recordings",1,19,29,"333173"
25,"spotify:track:4cGPWeCfoQTw7i0wqNRcjI","Tommy Körberg, Sissel","Julen är här","WM Sweden",5,71,52,"326668"
26,"spotify:track:6sGIMrtIzQjdzNndVxe397","Olivia Dean","So Easy (To Fall In Love)","PLG - Capitol",18,21,9,"324079"
27,"spotify:track:520Jrg250xi0QXIKxFqK4n","Judit","Tomten, jag vill ha en riktig jul","Filtr Kids",19,86,29,"320371"
28,"spotify:track:7es9iv9YMsxztdD7aja93s","Shiro","låga","Universal Music AB",28,-1,1,"319265"
29,"spotify:track:7DYvcwCrtckSM5bidztQhj","Jireel, Reyn","X","MOTY Records",4,11,5,"318857"
30,"spotify:track:05od2qm2MTSKCHxy1GBp5W","sombr","12 to 12","Warner Records",5,15,18,"317701"
31,"spotify:track:7qLwjBWh3M2JLFlEokIjUP","Humlan Djojj, Josefine Götestam","Nu säger vi godnatt","Filtr Kids",19,23,120,"317208"
32,"spotify:track:6F0EAXG5D1iFZU57wfa0Ys","Humlan Djojj, Josefine Götestam","Humlehum","Filtr Kids",21,24,65,"316254"
33,"spotify:track:1mlP7iqVLZMYryuispoFBE","Aslak Trude","Hey Ho","Merry Christmas Prod.",33,91,24,"315946"
34,"spotify:track:5ta6j4wZw2pb2huu6od7nk","Björnzone","A Christmas Song","Sony Music Sweden",6,103,7,"314098"
35,"spotify:track:1rv46mRwDqMEhOBZ7vODg3","Michael Bublé","It's Beginning to Look a Lot like Christmas","Reprise",3,48,53,"313568"
